""2020-11-06 21:33:04 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
""2020-11-06 21:33:04 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
""2020-11-06 21:33:04 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
""2020-11-06 21:33:04 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
""2020-11-06 21:33:04 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
""2020-11-06 21:33:04 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1604678584819 with initial instances count: 3
""2020-11-06 21:33:04 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application DIGT-APIGATEWAY-ROUTING with eureka with status UP
""2020-11-06 21:33:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1604678584824, current=UP, previous=STARTING]
""2020-11-06 21:33:04 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090: registering service...
""2020-11-06 21:33:04 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090 - registration status: 204
""2020-11-06 21:33:05 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port(s): 9090
""2020-11-06 21:33:05 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9090
""2020-11-06 21:33:06 [main] INFO  c.v.d.a.DigtApiGateWayRoutingApplication - Started DigtApiGateWayRoutingApplication in 8.567 seconds (JVM running for 10.513)
""2020-11-06 21:33:06 [main] INFO  c.v.d.a.DigtApiGateWayRoutingApplication - *****DigtApiGateWayRoutingApplication Started********
""2020-11-06 21:38:04 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
""2020-11-06 21:39:40 [reactor-http-nio-2] INFO  c.n.config.ChainedDynamicProperty - Flipping property: DIGT-USER-SERVICE.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
""2020-11-06 21:39:40 [reactor-http-nio-2] INFO  c.n.u.c.ShutdownEnabledTimer - Shutdown hook installed for: NFLoadBalancer-PingTimer-DIGT-USER-SERVICE
""2020-11-06 21:39:40 [reactor-http-nio-2] INFO  c.n.loadbalancer.BaseLoadBalancer - Client: DIGT-USER-SERVICE instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=DIGT-USER-SERVICE,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
""2020-11-06 21:39:40 [reactor-http-nio-2] INFO  c.n.l.DynamicServerListLoadBalancer - Using serverListUpdater PollingServerListUpdater
""2020-11-06 21:39:40 [reactor-http-nio-2] INFO  c.n.config.ChainedDynamicProperty - Flipping property: DIGT-USER-SERVICE.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
""2020-11-06 21:39:40 [reactor-http-nio-2] INFO  c.n.l.DynamicServerListLoadBalancer - DynamicServerListLoadBalancer for client DIGT-USER-SERVICE initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=DIGT-USER-SERVICE,current list of Servers=[ANNAPURNA:9092],Load balancer stats=Zone stats: {defaultzone=[Zone:defaultzone;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
},Server stats: [[Server:ANNAPURNA:9092;	Zone:defaultZone;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 05:30:00 IST 1970;	First connection made: Thu Jan 01 05:30:00 IST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@1c0e3cd5
""2020-11-06 21:39:41 [PollingServerListUpdater-0] INFO  c.n.config.ChainedDynamicProperty - Flipping property: DIGT-USER-SERVICE.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
""2020-11-06 21:42:06 [reactor-http-nio-2] INFO  c.n.config.ChainedDynamicProperty - Flipping property: DIGT-DEPARTMENT-SERVICE.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
""2020-11-06 21:42:06 [reactor-http-nio-2] INFO  c.n.u.c.ShutdownEnabledTimer - Shutdown hook installed for: NFLoadBalancer-PingTimer-DIGT-DEPARTMENT-SERVICE
""2020-11-06 21:42:06 [reactor-http-nio-2] INFO  c.n.loadbalancer.BaseLoadBalancer - Client: DIGT-DEPARTMENT-SERVICE instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=DIGT-DEPARTMENT-SERVICE,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
""2020-11-06 21:42:06 [reactor-http-nio-2] INFO  c.n.l.DynamicServerListLoadBalancer - Using serverListUpdater PollingServerListUpdater
""2020-11-06 21:42:06 [reactor-http-nio-2] INFO  c.n.config.ChainedDynamicProperty - Flipping property: DIGT-DEPARTMENT-SERVICE.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
