"2020-11-06 21:27:17 [main] INFO  c.v.d.s.DigtServiceRegistryEurekaApplication - The following profiles are active: dev
""2020-11-06 21:27:21 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http) with context path ''
""2020-11-06 21:27:21 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
""2020-11-06 21:27:22 [main] INFO  c.v.d.s.DigtServiceRegistryEurekaApplication - Started DigtServiceRegistryEurekaApplication in 6.814 seconds (JVM running for 8.878)
""2020-11-06 21:27:22 [main] INFO  c.v.d.s.DigtServiceRegistryEurekaApplication - ******Eureka Server Started********
""2020-11-06 21:28:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:28:34 [http-nio-8761-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-11-06 21:28:34 [http-nio-8761-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2020-11-06 21:28:34 [http-nio-8761-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 10 ms
""2020-11-06 21:28:34 [http-nio-8761-exec-2] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-DEPARTMENT-SERVICE/ANNAPURNA:DIGT-DEPARTMENT-SERVICE:9091 with status UP (replication=false)
""2020-11-06 21:28:35 [http-nio-8761-exec-3] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-DEPARTMENT-SERVICE/ANNAPURNA:DIGT-DEPARTMENT-SERVICE:9091 with status UP (replication=true)
""2020-11-06 21:29:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:30:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:30:38 [http-nio-8761-exec-8] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-USER-SERVICE/ANNAPURNA:DIGT-USER-SERVICE:9092 with status UP (replication=false)
""2020-11-06 21:30:38 [http-nio-8761-exec-9] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-USER-SERVICE/ANNAPURNA:DIGT-USER-SERVICE:9092 with status UP (replication=true)
""2020-11-06 21:31:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:31:48 [http-nio-8761-exec-3] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-CLOUD-CONFIGSERVER/ANNAPURNA:DIGT-CLOUD-CONFIGSERVER:9094 with status UP (replication=false)
""2020-11-06 21:31:49 [http-nio-8761-exec-4] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-CLOUD-CONFIGSERVER/ANNAPURNA:DIGT-CLOUD-CONFIGSERVER:9094 with status UP (replication=true)
""2020-11-06 21:32:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:33:04 [http-nio-8761-exec-1] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090 with status UP (replication=false)
""2020-11-06 21:33:05 [http-nio-8761-exec-2] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090 with status UP (replication=true)
""2020-11-06 21:33:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:34:06 [http-nio-8761-exec-6] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-HYSTRIX-DASHBOARD/ANNAPURNA:DIGT-HYSTRIX-DASHBOARD:9093 with status UP (replication=false)
""2020-11-06 21:34:06 [http-nio-8761-exec-8] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-HYSTRIX-DASHBOARD/ANNAPURNA:DIGT-HYSTRIX-DASHBOARD:9093 with status UP (replication=true)
""2020-11-06 21:34:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:35:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:36:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:37:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:38:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
""2020-11-06 21:39:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:40:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
""2020-11-06 21:41:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 2ms
""2020-11-06 21:42:21 [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Current renewal threshold is : 10
""2020-11-06 21:42:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:43:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 9ms
""2020-11-06 21:44:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:45:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:46:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:47:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:48:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:49:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:50:21 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2020-11-06 21:50:22 [http-nio-8761-exec-2] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-DEPARTMENT-SERVICE/ANNAPURNA:DIGT-DEPARTMENT-SERVICE:9091 with status DOWN (replication=false)
""2020-11-06 21:50:22 [http-nio-8761-exec-4] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-DEPARTMENT-SERVICE/ANNAPURNA:DIGT-DEPARTMENT-SERVICE:9091 with status DOWN (replication=true)
""2020-11-06 21:50:25 [http-nio-8761-exec-3] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-HYSTRIX-DASHBOARD/ANNAPURNA:DIGT-HYSTRIX-DASHBOARD:9093 with status DOWN (replication=false)
""2020-11-06 21:50:26 [http-nio-8761-exec-8] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-HYSTRIX-DASHBOARD/ANNAPURNA:DIGT-HYSTRIX-DASHBOARD:9093 with status DOWN (replication=true)
""2020-11-06 21:50:31 [http-nio-8761-exec-9] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090 with status DOWN (replication=false)
""2020-11-06 21:50:31 [http-nio-8761-exec-7] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance DIGT-APIGATEWAY-ROUTING/ANNAPURNA:DIGT-APIGATEWAY-ROUTING:9090 with status DOWN (replication=true)
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application UNKNOWN with eureka with status DOWN
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.n.e.DefaultEurekaServerContext - Shutting down ...
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.netflix.servo.monitor.StatsMonitor - Attempting to get the value for an expired monitor: eurekaServer.replication.batchSize.Will start computing stats again.
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.netflix.servo.monitor.StatsMonitor - Attempting to get the value for an expired monitor: eurekaServer.replication.executionTime.Will start computing stats again.
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.netflix.servo.monitor.StatsMonitor - Attempting to get the value for an expired monitor: eurekaServer.replication.executionTime.Will start computing stats again.
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.netflix.servo.monitor.StatsMonitor - Attempting to get the value for an expired monitor: eurekaServer.replication.batchSize.Will start computing stats again.
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.n.e.DefaultEurekaServerContext - Shut down
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
""2020-11-06 21:50:32 [RMI TCP Connection(2)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
"
